7zip	25.01+dfsg-1~deb13u2
libjack-jackd2-0:arm64	1.9.22~dfsg-4
libjansson4:arm64	2.14-2+b3
libjaylink0:arm64	0.4.0-1
libjbig0:arm64	2.1-6.1+b2
libjbig2dec0:arm64	0.20-1+b3
libjim0.83:arm64	0.83-2
libjpeg62-turbo:arm64	1:2.1.5-4
libjs-jquery	3.6.1+dfsg+~3.5.14-1
libjs-sphinxdoc	8.1.3-5
libjs-underscore	1.13.4~dfsg+~1.11.4-3
libjson-c5:arm64	0.18+ds-1
libjson-glib-1.0-0:arm64	1.10.6+ds-2
libjson-glib-1.0-common	1.10.6+ds-2
libjxl0.11:arm64	0.11.2-0.1~deb13u2
libjxr-tools	1.2~git20170615.f752187-5.3
libjxr0t64:arm64	1.2~git20170615.f752187-5.3
libk5crypto3:arm64	1.21.3-5+deb13u1
libkate1:arm64	0.4.3-1
libkeybinder-3.0-0:arm64	0.3.2-1.1+b3
libkeyutils1:arm64	1.6.3-6
libklibc:arm64	2.0.14-1
libkmod2:arm64	34.2-2
libkms++0:arm64	0~git20250807.1813ada-1
libkpathsea6:arm64	2024.20240313.70630+ds-6
libkrb5-3:arm64	1.21.3-5+deb13u1
libkrb5support0:arm64	1.21.3-5+deb13u1
libksba8:arm64	1.6.7-2+b1
liblapack3:arm64	3.12.1-6
liblastlog2-2:arm64	2.41.5-0+deb13u1
liblc3-1:arm64	1.1.3+dfsg-1
liblcms2-2:arm64	2.16-2+deb13u2
liblcms2-dev:arm64	2.16-2+deb13u2
libldacbt-abr2:arm64	2.0.2.3+git20200429+ed310a0-5
libldacbt-enc2:arm64	2.0.2.3+git20200429+ed310a0-5
libldap-common	2.6.10+dfsg-1
libldap2:arm64	2.6.10+dfsg-1
libldb2:arm64	2:2.11.0+samba4.22.8+dfsg-0+deb13u2
liblerc4:arm64	4.0.0+ds-5
liblgpio1:arm64	0.2.2-1~rpt1+trixie
libliftoff-dev:arm64	0.5.0-1.1+rpt6
libliftoff0:arm64	0.5.0-1.1+rpt6
liblightdm-gobject-1-0:arm64	1.32.0-6+rpt2
liblilv-0-0:arm64	0.24.26-1
liblirc-client0t64:arm64	0.10.2-0.10
liblivemedia116:arm64	2025.05.24-1
libllvm19:arm64	1:19.1.7-3+b1
liblmdb0:arm64	0.9.31-1+b2
liblocale-gettext-perl	1.07-7+b1
liblouis-data	3.33.0-1
liblouis20:arm64	3.33.0-1
liblouisutdml-bin	2.12.0-7
liblouisutdml-data	2.12.0-7
liblouisutdml9t64:arm64	2.12.0-7
liblqr-1-0:arm64	0.4.2-2.1+b2
liblrdf0:arm64	0.6.1-4+b2
liblsan0:arm64	14.2.0-19
liblsof0	4.99.4+dfsg-2
libltc11:arm64	1.3.2-1+b2
libltdl7:arm64	2.5.4-4
liblttng-ust-common1t64:arm64	2.13.9-1
liblttng-ust-ctl5t64:arm64	2.13.9-1
liblttng-ust1t64:arm64	2.13.9-1
liblua5.2-0:arm64	5.2.4-3+b3
liblua5.4-0:arm64	5.4.7-1+b2
libluajit-5.1-2:arm64	2.1.0+openresty20250117-2
libluajit-5.1-common	2.1.0+openresty20250117-2
liblz4-1:arm64	1.10.0-4
liblzma5:arm64	5.8.1-1
liblzo2-2:arm64	2.10-3+b1
libm17n-0:arm64	1.8.5-1
libmad0:arm64	0.15.1b-11+b1
libmagic-mgc	1:5.46-5
libmagic1t64:arm64	1:5.46-5
libmagickcore-7.q16-10-extra:arm64	8:7.1.1.43+dfsg1-1+deb13u9
libmagickcore-7.q16-10:arm64	8:7.1.1.43+dfsg1-1+deb13u9
libmagickwand-7.q16-10:arm64	8:7.1.1.43+dfsg1-1+deb13u9
libmate-desktop-2-17t64:arm64	1.26.2-1.2
libmatroska7:arm64	1.7.1-1+b2
libmbedcrypto16:arm64	3.6.5-0.1~deb13u1
libmd0:arm64	1.1.0-2+b1
libmd4c0:arm64	0.5.2-2+b1
libmenu-cache-bin	1.1.1-1
libmenu-cache3:arm64	1.1.1-1
libminizip1t64:arm64	1:1.3.dfsg+really1.3.1-1+b1
libmjpegutils-2.1-0t64:arm64	1:2.1.0+debian-8.1+b1
libmm-glib0:arm64	1.24.0-1+deb13u1
libmnl0:arm64	1.0.5-3
libmodplug1:arm64	1:0.8.9.0-3+b2
libmount-dev:arm64	2.41.5-0+deb13u1
libmount1:arm64	2.41.5-0+deb13u1
libmousepad0:arm64	0.6.3-1
libmp3lame0:arm64	3.100-6+b3
libmpc3:arm64	1.3.1-1+b3
libmpcdec6:arm64	2:0.1~r495-3
libmpeg2encpp-2.1-0t64:arm64	1:2.1.0+debian-8.1+b1
libmpfr6:arm64	4.2.2-1
libmpg123-0t64:arm64	1.32.10-1+deb13u1
libmplex2-2.1-0t64:arm64	1:2.1.0+debian-8.1+b1
libmsgraph-1-1:arm64	0.3.3-3
libmtdev-dev:arm64	1.1.7-1
libmtdev1t64:arm64	1.1.7-1
libmtp-common	1.1.22-1
libmtp-runtime	1.1.22-1
libmtp9t64:arm64	1.1.22-1
libmysofa1:arm64	1.3.3+dfsg-1
libnbd0	1.22.2-1+b1
libncurses6:arm64	6.5+20250216-2
libncursesw6:arm64	6.5+20250216-2
libndctl6:arm64	81-1
libndp0:arm64	1.9-1+b1
libneatvnc0:arm64	0.9.5~github
libneon27t64:arm64	0.34.2-1
libnetfilter-conntrack3:arm64	1.1.0-1
libnetplan1:arm64	1.1.2-7+rpt1
libnettle8t64:arm64	3.10.1-1
libnewt0.52:arm64	0.52.25-1
libnfnetlink0:arm64	1.0.2-3
libnfs14:arm64	5.0.2-1+b2
libnfsidmap1:arm64	1:2.8.3-1
libnftables1:arm64	1.1.3-1
libnftnl11:arm64	1.2.9-1
libnghttp2-14:arm64	1.64.0-1.1+deb13u1
libnghttp3-9:arm64	1.8.0-1
libngtcp2-16:arm64	1.11.0-1+deb13u1
libngtcp2-crypto-gnutls8:arm64	1.11.0-1+deb13u1
libnice10:arm64	0.1.22-1
libnl-3-200:arm64	3.7.0-2
libnl-genl-3-200:arm64	3.7.0-2
libnl-route-3-200:arm64	3.7.0-2
libnm0:arm64	1.52.1-1+rpt4
libnma-common	1.10.6-5+rpt1
libnma0:arm64	1.10.6-5+rpt1
libnorm1t64:arm64	1.5.9+dfsg-3.1+b2
libnotify4:arm64	0.8.6-1
libnpth0t64:arm64	1.8-3
libnspr4:arm64	2:4.36-1
libnss-mdns:arm64	0.15.1-4+b1
libnss3:arm64	2:3.110-1+deb13u2
libntfs-3g89t64:arm64	1:2022.10.3-5+deb13u1
libnuma1:arm64	2.0.19-1
libnvme1t64	1.13-2
libobrender32v5	3.6.1-12+rpt1
libobt2v5:arm64	3.6.1-12+rpt1
libogg0:arm64	1.3.5-3+b2
libonnx1t64:arm64	1.17.0-3+b1
libonnxruntime1.21:arm64	1.21.0+dfsg-1
libopenal-data	1:1.24.2-1
libopenal1:arm64	1:1.24.2-1
libopencore-amrnb0:arm64	0.1.6-1+b2
libopencore-amrwb0:arm64	0.1.6-1+b2
libopencv-calib3d410:arm64	4.10.0+dfsg-5
libopencv-core410:arm64	4.10.0+dfsg-5
libopencv-dnn410:arm64	4.10.0+dfsg-5
libopencv-features2d410:arm64	4.10.0+dfsg-5
libopencv-flann410:arm64	4.10.0+dfsg-5
libopencv-imgproc410:arm64	4.10.0+dfsg-5
libopencv-objdetect410:arm64	4.10.0+dfsg-5
libopenexr-3-1-30:arm64	3.1.13-2
libopenfec1:arm64	1.4.2.11+dfsg-1
libopengl-dev:arm64	1.7.0-1+b2
libopengl0:arm64	1.7.0-1+b2
libopenh264-8:arm64	2.6.0+dfsg-2
libopenjp2-7:arm64	2.5.3-2.1~deb13u2
libopenmpt-modplug1:arm64	0.8.9.0-openmpt1-2+b3
libopenmpt0t64:arm64	0.7.13-1+b1
libopenni2-0:arm64	2.2.0.33+dfsg-18+b2
libopus0:arm64	1.5.2-2
libopusfile0:arm64	0.12-4+b3
liborc-0.4-0t64:arm64	1:0.4.41-1
libossp-uuid16:arm64	1.6.4-1
libotf1:arm64	0.9.16-4+b2
libp11-kit0:arm64	0.25.5-3
libpackagekit-glib2-18:arm64	1.3.1-1+deb13u1
libpam-chksshpwd:arm64	2.0
libpam-gnome-keyring:arm64	48.0-1
libpam-modules-bin	1.7.0-5
libpam-modules:arm64	1.7.0-5
libpam-runtime	1.7.0-5
libpam-systemd:arm64	257.13-1~deb13u1
libpam0g:arm64	1.7.0-5
libpango-1.0-0:arm64	1.56.3-1
libpango1.0-dev:arm64	1.56.3-1
libpangocairo-1.0-0:arm64	1.56.3-1
libpangoft2-1.0-0:arm64	1.56.3-1
libpangomm-1.4-1v5:arm64	2.46.4-1+b2
libpangoxft-1.0-0:arm64	1.56.3-1
libpaper-utils	2.2.5-0.3+b2
libpaper2:arm64	2.2.5-0.3+b2
libparted2t64:arm64	3.6-5
libpcap0.8t64:arm64	1.10.5-2
libpci3:arm64	1:3.13.0-2
libpciaccess-dev:arm64	0.17-3+b3
libpciaccess0:arm64	0.17-3+b3
libpcre2-16-0:arm64	10.46-1~deb13u1
libpcre2-32-0:arm64	10.46-1~deb13u1
libpcre2-8-0:arm64	10.46-1~deb13u1
libpcre2-dev:arm64	10.46-1~deb13u1
libpcre2-posix3:arm64	10.46-1~deb13u1
libpcsclite1:arm64	2.3.3-1
libpeas-1.0-0:arm64	1.36.0-3+b4
libpeas-common	1.36.0-3
libperl5.40:arm64	5.40.1-6
libpgm-5.3-0t64:arm64	5.3.128~dfsg-2.1+b1
libpipeline1:arm64	1.5.8-1
libpipewire-0.3-0t64:arm64	1.4.2-1+rpt3
libpipewire-0.3-modules:arm64	1.4.2-1+rpt3
libpisp-common	1.5.0-1
libpisp1:arm64	1.5.0-1
libpixman-1-0:arm64	0.46.4-1+rpt1
libpixman-1-dev:arm64	0.46.4-1+rpt1
libpkgconf3:arm64	1.8.1-4
libplacebo349:arm64	7.349.0-3
libplist-2.0-4:arm64	2.6.0-2+b1
libplymouth5:arm64	24.004.60-5
libpmem1:arm64	1.13.1-1.1+b1
libpng-dev:arm64	1.6.48-1+deb13u5
libpng16-16t64:arm64	1.6.48-1+deb13u5
libpocketsphinx3:arm64	0.8+5prealpha+1-15+b4
libpolkit-agent-1-0:arm64	126-2
libpolkit-gobject-1-0:arm64	126-2
libpoppler-cpp2:arm64	25.03.0-5+deb13u3
libpoppler-glib8t64:arm64	25.03.0-5+deb13u3
libpoppler147:arm64	25.03.0-5+deb13u3
libpopt0:arm64	1.19+dfsg-2
libportmidi0:arm64	1:217-6.1+b4
libpostproc58:arm64	8:7.1.4-0+deb13u1+rpt1
libproc2-0:arm64	2:4.0.4-9
libprotobuf-lite32t64:arm64	3.21.12-11
libprotobuf32t64:arm64	3.21.12-11
libproxy-tools	0.5.9-1
libproxy1v5:arm64	0.5.9-1
libpsl5t64:arm64	0.21.2-1.1+b1
libpthreadpool0:arm64	0.0~git20240616.560c60d-1
libpugixml1v5:arm64	1.14-2
libpulse0:arm64	17.0+dfsg1-2+rpt1
libpython3-dev:arm64	3.13.5-1
libpython3-stdlib:arm64	3.13.5-1
libpython3.13-dev:arm64	3.13.5-2+deb13u2
libpython3.13-minimal:arm64	3.13.5-2+deb13u2
libpython3.13-stdlib:arm64	3.13.5-2+deb13u2
libpython3.13:arm64	3.13.5-2+deb13u2
libqpdf30:arm64	12.2.0-1
libqrencode4:arm64	4.1.1-2
libqt5core5t64:arm64	5.15.15+dfsg-6+deb13u1
libqt5ct-common1.8	1.8-2+b1
libqt5dbus5t64:arm64	5.15.15+dfsg-6+deb13u1
libqt5designer5:arm64	5.15.15-6
libqt5gui5t64:arm64	5.15.15+dfsg-6+deb13u1
libqt5help5:arm64	5.15.15-6
libqt5network5t64:arm64	5.15.15+dfsg-6+deb13u1
libqt5printsupport5t64:arm64	5.15.15+dfsg-6+deb13u1
libqt5qml5:arm64	5.15.15+dfsg-3
libqt5qmlmodels5:arm64	5.15.15+dfsg-3
libqt5quick5:arm64	5.15.15+dfsg-3
libqt5sql5-sqlite:arm64	5.15.15+dfsg-6+deb13u1
libqt5sql5t64:arm64	5.15.15+dfsg-6+deb13u1
libqt5svg5:arm64	5.15.15-2
libqt5test5t64:arm64	5.15.15+dfsg-6+deb13u1
libqt5waylandclient5:arm64	5.15.15-3
libqt5waylandcompositor5:arm64	5.15.15-3
libqt5widgets5t64:arm64	5.15.15+dfsg-6+deb13u1
libqt5x11extras5:arm64	5.15.15-2
libqt5xml5t64:arm64	5.15.15+dfsg-6+deb13u1
libqt6core6t64:arm64	6.8.2+dfsg-9+deb13u2
libqt6dbus6:arm64	6.8.2+dfsg-9+deb13u2
libqt6gui6:arm64	6.8.2+dfsg-9+deb13u2
libqt6opengl6:arm64	6.8.2+dfsg-9+deb13u2
libqt6openglwidgets6:arm64	6.8.2+dfsg-9+deb13u2
libqt6svg6:arm64	6.8.2-3
libqt6widgets6:arm64	6.8.2+dfsg-9+deb13u2
librabbitmq4:arm64	0.15.0-1+deb13u1
librados2	18.2.7+ds-1+deb13u1
libraptor2-0:arm64	2.0.16-6
libraqm0:arm64	0.10.2-1
librav1e0.7:arm64	0.7.1-9+b2
libraw1394-11:arm64	2.1.2-2+b2
libraw23t64:arm64	0.21.4-2
librbd1	18.2.7+ds-1+deb13u1
librdmacm1t64:arm64	56.1-1
libre2-11:arm64	20240702-3+b1
libreadline8t64:arm64	8.2-6
libresid-builder0c2a:arm64	2.1.1-16
librist4:arm64	0.2.11+dfsg-1
libroc0.4:arm64	0.4.0+dfsg-5
librpicam-app1:arm64	1.12.0-1
librpieepromab0:arm64	20260601-1
librpifwcrypto0:arm64	20260601-1
librsvg2-2:arm64	2.60.0+dfsg-1
librsvg2-common:arm64	2.60.0+dfsg-1
librtimulib-dev	7.2.1-7
librtimulib-utils	7.2.1-7
librtimulib7	7.2.1-7
librtmp1:arm64	2.4+20151223.gitfa8646d.1-2+b5
librubberband2:arm64	3.3.0+dfsg-2+b3
libsamplerate0:arm64	0.2.2-4+b2
libsane-common	1.3.1-3
libsane-hpaio:arm64	3.22.10+dfsg0-8.1
libsane1:arm64	1.3.1-3+b1
libsasl2-2:arm64	2.1.28+dfsg1-9
libsasl2-modules-db:arm64	2.1.28+dfsg1-9
libsasl2-modules:arm64	2.1.28+dfsg1-9
libsbc1:arm64	2.1-1
libsdl2-2.0-0:arm64	2.32.4+dfsg-1
libsdl2-image-2.0-0:arm64	2.8.8+dfsg-1
libsdl2-mixer-2.0-0:arm64	2.8.1+dfsg-2
libsdl2-ttf-2.0-0:arm64	2.24.0+dfsg-2
libseat-dev:arm64	0.9.1-1
libseat1:arm64	0.9.1-1
libseccomp2:arm64	2.6.0-2
libsecret-1-0:arm64	0.21.7-1
libsecret-common	0.21.7-1
libselinux1-dev:arm64	3.8.1-1
libselinux1:arm64	3.8.1-1
libsemanage-common	3.8.1-1
libsemanage2:arm64	3.8.1-1
libsensors-config	1:3.6.2-2
libsensors5:arm64	1:3.6.2-2
libsepol-dev:arm64	3.8.1-1
libsepol2:arm64	3.8.1-1
libserd-0-0:arm64	0.32.4-1
libsfdo0:arm64	0.1.3-1+b1
libsframe1:arm64	2.44-3
libsharpyuv0:arm64	1.5.0-0.1
libshine3:arm64	3.1.1-2+b2
libshout3:arm64	2.4.6-1+b3
libsidplay2:arm64	2.1.1-16
libsigc++-2.0-0v5:arm64	2.12.1-3
libslang2:arm64	2.3.3-5+b2
libsm-dev:arm64	2:1.2.6-1
libsm6:arm64	2:1.2.6-1
libsmartcols1:arm64	2.41.5-0+deb13u1
libsmbclient0:arm64	2:4.22.8+dfsg-0+deb13u2
libsnappy1v5:arm64	1.2.2-1
libsndfile1:arm64	1.2.2-2+deb13u1
libsnmp-base	5.9.4+dfsg-2+deb13u1
libsnmp40t64:arm64	5.9.4+dfsg-2+deb13u1
libsodium23:arm64	1.0.18-1+deb13u1
libsord-0-0:arm64	0.16.18-1
libsoundtouch1:arm64	2.4.0+ds-1
libsoup-2.4-1:arm64	2.74.3-10.1
libsoup-3.0-0:arm64	3.6.5-3
libsoup-3.0-common	3.6.5-3
libsoup2.4-common	2.74.3-10.1
libsource-highlight-common	3.1.9-4.3
libsource-highlight4t64:arm64	3.1.9-4.3+b1
libsoxr0:arm64	0.1.3-4+b2
libspa-0.2-bluetooth:arm64	1.4.2-1+rpt3
libspa-0.2-libcamera:arm64	1.4.2-1+rpt3
libspa-0.2-modules:arm64	1.4.2-1+rpt3
libspandsp2t64:arm64	0.0.6+dfsg-2.2
libspatialaudio0t64:arm64	0.3.0+git20180730+dfsg1-2.1+b1
libspectre1:arm64	0.2.12-1+b2
libspeex1:arm64	1.2.1-3
libspeexdsp1:arm64	1.2.1-3
libsphinxbase3t64:arm64	0.8+5prealpha+1-21+b1
libsqlite3-0:arm64	3.46.1-7+deb13u1
libsratom-0-0:arm64	0.6.18-1
libsrt1.5-gnutls:arm64	1.5.4-1
libsrtp2-1:arm64	2.7.0-3
libss2:arm64	1.47.2-3+b11
libssh-4:arm64	0.11.2-1+deb13u1
libssh2-1t64:arm64	1.11.1-1
libssl3t64:arm64	3.5.6-1~deb13u2+rpt1
libstartup-notification0:arm64	0.12-8
libstdc++-14-dev:arm64	14.2.0-19
libstdc++6:arm64	14.2.0-19
libstemmer0d:arm64	2.2.0-4+b2
libsvtav1enc2:arm64	2.3.0+dfsg-1
libswresample5:arm64	8:7.1.4-0+deb13u1+rpt1
libswscale8:arm64	8:7.1.4-0+deb13u1+rpt1
libsynctex2:arm64	2024.20240313.70630+ds-6
libsysprof-capture-4-dev:arm64	48.0-2
libsystemd-dev:arm64	257.13-1~deb13u1
libsystemd-shared:arm64	257.13-1~deb13u1
libsystemd0:arm64	257.13-1~deb13u1
libtag2:arm64	2.0.2-2
libtalloc2:arm64	2:2.4.3+samba4.22.8+dfsg-0+deb13u2
libtasn1-6:arm64	4.20.0-2
libtbb12:arm64	2022.1.0-1+deb13u1
libtbbbind-2-5:arm64	2022.1.0-1+deb13u1
libtbbmalloc2:arm64	2022.1.0-1+deb13u1
libtcl8.6:arm64	8.6.16+dfsg-1
libtdb1:arm64	2:1.4.13+samba4.22.8+dfsg-0+deb13u2
libteamdctl0:arm64	1.31-1+b2
libtensorflow-lite2.20.0:arm64	2.20.0-1+rpt1
libtevent0t64:arm64	2:0.16.2+samba4.22.8+dfsg-0+deb13u2
libtext-charwidth-perl:arm64	0.04-11+b4
libtext-iconv-perl:arm64	1.7-8+b4
libtext-wrapi18n-perl	0.06-10
libthai-data	0.1.29-2
libthai-dev:arm64	0.1.29-2+b1
libthai0:arm64	0.1.29-2+b1
libtheora0:arm64	1.2.0~alpha1+dfsg-6
libtheoradec1:arm64	1.2.0~alpha1+dfsg-6
libtheoraenc1:arm64	1.2.0~alpha1+dfsg-6
libtiff6:arm64	4.7.0-3+deb13u2
libtinfo6:arm64	6.5+20250216-2
libtirpc-common	1.3.6+ds-1
libtirpc3t64:arm64	1.3.6+ds-1
libtk8.6:arm64	8.6.16-1
libtree-sitter0.22:arm64	0.22.6-6+b1
libts0t64:arm64	1.22-1.1+b1
libtsan2:arm64	14.2.0-19
libturbojpeg0:arm64	1:2.1.5-4
libtwolame0:arm64	0.4.0-2+b2
libubsan1:arm64	14.2.0-19
libuchardet0:arm64	0.0.8-1+b2
libudev-dev:arm64	257.13-1~deb13u1
libudev1:arm64	257.13-1~deb13u1
libudfread0:arm64	1.1.2-1+b2
libudisks2-0:arm64	2.10.1-12.1+deb13u1
libunibreak6:arm64	6.1-3
libunistring5:arm64	1.3-2
libunwind8:arm64	1.8.1-0.1
libupnp17t64:arm64	1:1.14.20-1
libupower-glib3:arm64	1.90.9-1
libusageenvironment3:arm64	2025.05.24-1
libusb-1.0-0:arm64	2:1.0.28-1
libusbmuxd-2.0-7:arm64	2.1.0-1+b1
libutempter0:arm64	1.2.1-4
libuuid1:arm64	2.41.5-0+deb13u1
libuv1t64:arm64	1.50.0-2
libv4l-0t64:arm64	1.30.1-1
libv4l2rds0t64:arm64	1.30.1-1
libv4lconvert0t64:arm64	1.30.1-1
libva-drm2:arm64	2.22.0-3
libva-x11-2:arm64	2.22.0-3
libva2:arm64	2.22.0-3
libvdpau-va-gl1:arm64	0.4.2-2
libvdpau1:arm64	1.5-3+b1
libvidstab1.1:arm64	1.1.0-2+b2
libvisual-0.4-0:arm64	0.4.2-2+b2
libvlc-bin:arm64	1:3.0.23-0+deb13u1+rpt2
libvlc5:arm64	1:3.0.23-0+deb13u1+rpt2
libvlccore9:arm64	1:3.0.23-0+deb13u1+rpt2
libvncclient1:arm64	0.9.15+dfsg-1+deb13u1
libvo-aacenc0:arm64	0.1.3-3
libvo-amrwbenc0:arm64	0.1.3-2+b2
libvolume-key1:arm64	0.3.12-9
libvorbis0a:arm64	1.3.7-3
libvorbisenc2:arm64	1.3.7-3
libvorbisfile3:arm64	1.3.7-3
libvpx9:arm64	1.15.0-2.1+deb13u1
libvte-2.91-0:arm64	0.80.1-1
libvte-2.91-common	0.80.1-1
libvulkan-dev:arm64	1.4.309.0-1
libvulkan1:arm64	1.4.309.0-1
libwacom-common	2.14.0-1
libwacom-dev:arm64	2.14.0-1
libwacom9:arm64	2.14.0-1
libwavpack1:arm64	5.8.1-1
libwayland-bin	1.24.0-2~bpo13+1~rpt1
libwayland-client0:arm64	1.24.0-2~bpo13+1~rpt1
libwayland-cursor0:arm64	1.24.0-2~bpo13+1~rpt1
libwayland-dev:arm64	1.24.0-2~bpo13+1~rpt1
libwayland-egl1:arm64	1.24.0-2~bpo13+1~rpt1
libwayland-server0:arm64	1.24.0-2~bpo13+1~rpt1
libwbclient0:arm64	2:4.22.8+dfsg-0+deb13u2
libwebp7:arm64	1.5.0-0.1
libwebpdecoder3:arm64	1.5.0-0.1
libwebpdemux2:arm64	1.5.0-0.1
libwebpmux3:arm64	1.5.0-0.1
libwebrtc-audio-processing-1-3:arm64	1.3-3+b1
libwidevinecdm0	4.10.2662.3+1
libwildmidi2:arm64	0.4.3-1+b3
libwireplumber-0.5-0:arm64	0.5.8-2
libwlroots-0.18-dev:arm64	0.18.2-3+rpt4+b1
libwlroots-0.18:arm64	0.18.2-3+rpt4+b1
libwlroots-0.19:arm64	0.19.1-1+rpt4
libwmflite-0.2-7:arm64	0.2.13-1.1+b3
libwrap0:arm64	7.6.q-36
libwtmpdb0:arm64	0.73.0-3+deb13u1
libx11-6:arm64	2:1.8.12-1
libx11-data	2:1.8.12-1
libx11-dev:arm64	2:1.8.12-1
libx11-xcb-dev:arm64	2:1.8.12-1
libx11-xcb1:arm64	2:1.8.12-1
libx264-164:arm64	2:0.164.3108+git31e19f9-2+b1
libx265-215:arm64	4.1-2
libxau-dev:arm64	1:1.0.11-1
libxau6:arm64	1:1.0.11-1
libxaw7:arm64	2:1.0.16-1
libxcb-composite0-dev:arm64	1.17.0-2+b1
libxcb-composite0:arm64	1.17.0-2+b1
libxcb-cursor0:arm64	0.1.5-1
libxcb-damage0:arm64	1.17.0-2+b1
libxcb-dri3-0:arm64	1.17.0-2+b1
libxcb-dri3-dev:arm64	1.17.0-2+b1
libxcb-errors-dev:arm64	1.0.1-4
libxcb-errors0:arm64	1.0.1-4
libxcb-ewmh-dev:arm64	0.4.2-1
libxcb-ewmh2:arm64	0.4.2-1
libxcb-glx0:arm64	1.17.0-2+b1
libxcb-icccm4-dev:arm64	0.4.2-1
libxcb-icccm4:arm64	0.4.2-1
libxcb-image0-dev:arm64	0.4.0-2+b2
libxcb-image0:arm64	0.4.0-2+b2
libxcb-keysyms1:arm64	0.4.1-1
libxcb-present-dev:arm64	1.17.0-2+b1
libxcb-present0:arm64	1.17.0-2+b1
libxcb-randr0-dev:arm64	1.17.0-2+b1
libxcb-randr0:arm64	1.17.0-2+b1
libxcb-render-util0-dev:arm64	0.3.10-1
libxcb-render-util0:arm64	0.3.10-1
libxcb-render0-dev:arm64	1.17.0-2+b1
libxcb-render0:arm64	1.17.0-2+b1
libxcb-res0-dev:arm64	1.17.0-2+b1
libxcb-res0:arm64	1.17.0-2+b1
libxcb-shape0-dev:arm64	1.17.0-2+b1
libxcb-shape0:arm64	1.17.0-2+b1
libxcb-shm0-dev:arm64	1.17.0-2+b1
libxcb-shm0:arm64	1.17.0-2+b1
libxcb-sync-dev:arm64	1.17.0-2+b1
libxcb-sync1:arm64	1.17.0-2+b1
libxcb-util1:arm64	0.4.1-1
libxcb-xfixes0-dev:arm64	1.17.0-2+b1
libxcb-xfixes0:arm64	1.17.0-2+b1
libxcb-xinerama0:arm64	1.17.0-2+b1
libxcb-xinput-dev:arm64	1.17.0-2+b1
libxcb-xinput0:arm64	1.17.0-2+b1
libxcb-xkb1:arm64	1.17.0-2+b1
libxcb-xv0:arm64	1.17.0-2+b1
libxcb1-dev:arm64	1.17.0-2+b1
libxcb1:arm64	1.17.0-2+b1
libxcomposite1:arm64	1:0.4.6-1
libxcursor1:arm64	1:1.2.3-1
libxcvt0:arm64	0.1.3-1
libxdamage1:arm64	1:1.1.6-1+b2
libxdmcp-dev:arm64	1:1.1.5-1
libxdmcp6:arm64	1:1.1.5-1
libxext-dev:arm64	2:1.3.4-1+b3
libxext6:arm64	2:1.3.4-1+b3
libxfce4ui-2-0:arm64	4.20.1-1
libxfce4ui-common	4.20.1-1
libxfce4util-bin	4.20.1-1
libxfce4util-common	4.20.1-1
libxfce4util7:arm64	4.20.1-1
libxfconf-0-3:arm64	4.20.0-1
libxfixes3:arm64	1:6.0.0-2+b4
libxfont2:arm64	1:2.0.6-1+b3
libxft-dev:arm64	2.3.6-1+b4
libxft2:arm64	2.3.6-1+b4
libxi6:arm64	2:1.8.2-1
libxinerama1:arm64	2:1.1.4-3+b4
libxkbcommon-dev:arm64	1.7.0-2
libxkbcommon-x11-0:arm64	1.7.0-2
libxkbcommon0:arm64	1.7.0-2
libxkbfile1:arm64	1:1.1.0-1+b4
libxkbregistry0:arm64	1.7.0-2
libxklavier16:arm64	5.4-5+b2
libxml++2.6-2v5:arm64	2.42.3-2
libxml2:arm64	2.12.7+dfsg+really2.9.14-2.1+deb13u2
libxmlb2:arm64	0.3.22-1
libxmp4:arm64	4.6.2-2
libxmu6:arm64	2:1.1.3-3+b4
libxmuu1:arm64	2:1.1.3-3+b4
libxnnpack0.20241108:arm64	0.0~git20241108.4ea82e5-2
libxnvctrl0:arm64	535.171.04-1+b2
libxpm4:arm64	1:3.5.17-1+b3
libxrandr2:arm64	2:1.5.4-1+b3
libxrender-dev:arm64	1:0.9.12-1
libxrender1:arm64	1:0.9.12-1
libxshmfence1:arm64	1.3.3-1
libxslt1.1:arm64	1.1.35-1.2+deb13u3
libxss1:arm64	1:1.2.3-1+b3
libxt-dev:arm64	1:1.2.1-1.2+b2
libxt6t64:arm64	1:1.2.1-1.2+b2
libxtables12:arm64	1.8.11-2
libxtst6:arm64	2:1.2.5-1
libxv1:arm64	2:1.0.11-1.1+b3
libxvidcore4:arm64	2:1.3.7-1+b2
libxxf86vm1:arm64	1:1.1.4-1+b4
libxxhash0:arm64	0.8.3-2
libyajl2:arm64	2.1.0-5+b2
libyaml-0-2:arm64	0.2.5-2
libyuv0:arm64	0.0.1904.20250204-1
libz3-4:arm64	4.13.3-1
libzbar0t64:arm64	0.23.93-8
libzimg2:arm64	3.0.5+ds1-1+b2
libzix-0-0:arm64	0.6.2-1
libzmq5:arm64	4.3.5-1+b3
libzstd1:arm64	1.5.7+dfsg-1
libzvbi-common	0.2.44-1
libzvbi0t64:arm64	0.2.44-1
libzxing3:arm64	2.3.0-4
lightdm	1.32.0-6+rpt2
lightdm-gtk-greeter	2.0.9-1+b2
linux-base	4.12.1
linux-base-6.18.34+rpt-rpi-2712	1:6.18.34-1+rpt1
linux-base-6.18.34+rpt-rpi-v8	1:6.18.34-1+rpt1
