7zip	25.01+dfsg-1~deb13u2
gir1.2-glib-2.0-dev:arm64	2.84.4-3~deb13u3
gir1.2-glib-2.0:arm64	2.84.4-3~deb13u3
gir1.2-gtk-3.0:arm64	1:3.24.49-3+rpt8
gir1.2-gudev-1.0:arm64	238-6
gir1.2-harfbuzz-0.0:arm64	10.2.0-1+deb13u1
gir1.2-notify-0.7:arm64	0.8.6-1
gir1.2-pango-1.0:arm64	1.56.3-1
gir1.2-secret-1:arm64	0.21.7-1
girepository-tools:arm64	2.84.4-3~deb13u3
git	1:2.47.3-0+deb13u1
git-man	1:2.47.3-0+deb13u1
gldriver-test	0.15
glib-networking-common	2.80.1-1
glib-networking-services	2.80.1-1
glib-networking:arm64	2.80.1-1
gnome-desktop3-data	44.3-3
gnome-keyring	48.0-1
gnome-themes-extra-data	3.28-4
gnupg	2.4.7-21+deb13u1
gnupg-l10n	2.4.7-21+deb13u1
gnupg-utils	2.4.7-21+deb13u1+b3
gpg	2.4.7-21+deb13u1+b3
gpg-agent	2.4.7-21+deb13u1+b3
gpg-wks-client	2.4.7-21+deb13u1+b3
gpgconf	2.4.7-21+deb13u1+b3
gpgsm	2.4.7-21+deb13u1+b3
gpgv	2.4.7-21+deb13u1+b3
gpiod	2.2.1-2+deb13u1
grep	3.11-4+b1
grim	1.4.0+ds-2+b2
groff-base	1.23.0-9
gsettings-desktop-schemas	48.0-1+rpt1
gstreamer1.0-alsa:arm64	1.26.2-1+rpt3+deb13u1
gstreamer1.0-gl:arm64	1.26.2-1+rpt3+deb13u1
gstreamer1.0-libav:arm64	1.26.2-1
gstreamer1.0-plugins-bad:arm64	1.26.2-3+rpt3+deb13u1
gstreamer1.0-plugins-base:arm64	1.26.2-1+rpt3+deb13u1
gstreamer1.0-plugins-good:arm64	1.26.2-1+deb13u1
gstreamer1.0-x:arm64	1.26.2-1+rpt3+deb13u1
gtk-update-icon-cache	4.18.6+ds-2
gtk2-engines-pixbuf:arm64	2.24.33-7+rpt1
gtk2-engines-pixflat:arm64	0.5+b1
gui-pkinst	0.23
gui-runcmd	0.2
gui-updater	1.3
gvfs-backends	1.57.2-2+deb13u1
gvfs-common	1.57.2-2+deb13u1
gvfs-daemons	1.57.2-2+deb13u1
gvfs-fuse	1.57.2-2+deb13u1
gvfs-libs:arm64	1.57.2-2+deb13u1
gvfs:arm64	1.57.2-2+deb13u1
gzip	1.13-1
hicolor-icon-theme	0.18-2
hostname	3.25
hplip	3.22.10+dfsg0-8.1
hplip-data	3.22.10+dfsg0-8.1
htop	3.4.1-5
hunspell-en-gb	1:25.2.3-1
hunspell-en-us	1:2020.12.07-4
hyphen-en-gb	1:25.2.3-1
i2c-tools	4.4-2
ibverbs-providers:arm64	56.1-1
icu-devtools	76.1-4
imagemagick-7-common	8:7.1.1.43+dfsg1-1+deb13u9
init	1.69~deb13u1
init-system-helpers	1.69~deb13u1
initramfs-tools	0.148.4+rpt2
initramfs-tools-bin	0.148.4+rpt2
initramfs-tools-core	0.148.4+rpt2
inotify-tools	4.23.9.0-2+b1
install-info	7.1.1-1+b1
ipp-usb	0.9.23-2+b7
iproute2	6.15.0-1
iputils-arping	3:20240905-3
iputils-ping	3:20240905-3
iso-codes	4.18.0-1
iw	6.9-1+b1
javascript-common	12+nmu1
kanshi	1.5.1-2+b1
kbd	2.7.1-2
keyboard-configuration	1.242~deb13u1
keyutils	1.6.3-6
klibc-utils	2.0.14-1
kmod	34.2-2
kms++-utils	0~git20250807.1813ada-1
labwc	0.9.7-1+rpt1
laptop-detect	0.16+nmu1
less	668-1
libaa1:arm64	1.4p5-51.1+b1
libabsl20240722:arm64	20240722.0-4
libaccountsservice0:arm64	23.13.9-7
libacl1:arm64	2.3.2-2+b1
libadwaita-1-0:arm64	1.7.6-1~deb13u1
libaio1t64:arm64	0.3.113-8+b1
libalgorithm-diff-perl	1.201-1
libalgorithm-diff-xs-perl	0.04-9
libalgorithm-merge-perl	0.08-5
libaml0t64:arm64	0.3.0-3
libaom3:arm64	3.12.1-1
libapparmor1:arm64	4.1.0-1
libappstream5:arm64	1.0.5-1
libapt-pkg7.0:arm64	3.0.3
libarchive13t64:arm64	3.7.4-4+deb13u1
libaribb24-0t64:arm64	1.0.3-2.1+b2
libasan8:arm64	14.2.0-19
libasound2-data	1.2.14-1+rpt1
libasound2t64:arm64	1.2.14-1+rpt1
libaspell15:arm64	0.60.8.1-4
libass9:arm64	1:0.17.3-1+b1
libassuan9:arm64	3.0.2-2
libasyncns0:arm64	0.8-6+b5
libatasmart4:arm64	0.19-5+b2
libatk-bridge2.0-0t64:arm64	2.56.2-1+deb13u1
libatk1.0-0t64:arm64	2.56.2-1+deb13u1
libatkmm-1.6-1v5:arm64	2.28.4-1+b2
libatomic1:arm64	14.2.0-19
libatopology2t64:arm64	1.2.14-1+rpt1
libatspi2.0-0t64:arm64	2.56.2-1+deb13u1
libattr1:arm64	1:2.5.2-3
libaudit-common	1:4.0.2-2
libaudit1:arm64	1:4.0.2-2+b2
libavahi-client3:arm64	0.8-16
libavahi-common-data:arm64	0.8-16
libavahi-common3:arm64	0.8-16
libavahi-core7:arm64	0.8-16
libavahi-glib1:arm64	0.8-16
libavc1394-0:arm64	0.5.4-5+b2
libavcodec61:arm64	8:7.1.4-0+deb13u1+rpt1
libavdevice61:arm64	8:7.1.4-0+deb13u1+rpt1
libavfilter10:arm64	8:7.1.4-0+deb13u1+rpt1
libavformat61:arm64	8:7.1.4-0+deb13u1+rpt1
libavif16:arm64	1.2.1-1.2
libavtp0:arm64	0.2.0-2
libavutil59:arm64	8:7.1.4-0+deb13u1+rpt1
libayatana-ido3-0.4-0:arm64	0.10.4-1
libayatana-indicator3-7:arm64	0.9.4-1+b1
libb2-1:arm64	0.98.1-1.1+b2
libbabeltrace1:arm64	1.5.11-4+b2
libbasicusageenvironment2:arm64	2025.05.24-1
libbinutils:arm64	2.44-3
libblas3:arm64	3.12.1-6
libblkid-dev:arm64	2.41.5-0+deb13u1
libblkid1:arm64	2.41.5-0+deb13u1
libblockdev-crypto3:arm64	3.3.0-2.1
libblockdev-fs3:arm64	3.3.0-2.1
libblockdev-loop3:arm64	3.3.0-2.1
libblockdev-mdraid3:arm64	3.3.0-2.1
libblockdev-nvme3:arm64	3.3.0-2.1
libblockdev-part3:arm64	3.3.0-2.1
libblockdev-swap3:arm64	3.3.0-2.1
libblockdev-utils3:arm64	3.3.0-2.1
libblockdev3:arm64	3.3.0-2.1
libbluetooth3:arm64	5.82-1.1+rpt1
libbluray2:arm64	1:1.3.4-1+b2
libboost-filesystem1.83.0:arm64	1.83.0-4.2
libboost-iostreams1.83.0:arm64	1.83.0-4.2
libboost-log1.83.0	1.83.0-4.2
libboost-program-options1.83.0:arm64	1.83.0-4.2
libboost-thread1.83.0:arm64	1.83.0-4.2
libbpf1:arm64	1:1.5.0-3
libbrotli-dev:arm64	1.1.0-2+b7
libbrotli1:arm64	1.1.0-2+b7
libbs2b0:arm64	3.1.0+dfsg-8+b1
libbsd0:arm64	0.12.2-2
libbytesize-common	2.11-2
libbytesize1:arm64	2.11-2
libbz2-1.0:arm64	1.0.8-6
libbz2-dev:arm64	1.0.8-6
libc-bin	2.41-12+rpt1+deb13u3
libc-dev-bin	2.41-12+rpt1+deb13u3
libc-l10n	2.41-12+rpt1+deb13u3
libc6-dev:arm64	2.41-12+rpt1+deb13u3
libc6:arm64	2.41-12+rpt1+deb13u3
libcaca0:arm64	0.99.beta20-5
libcairo-gobject2:arm64	1.18.4-1+rpt1
libcairo-script-interpreter2:arm64	1.18.4-1+rpt1
libcairo2-dev:arm64	1.18.4-1+rpt1
libcairo2:arm64	1.18.4-1+rpt1
libcairomm-1.0-1v5:arm64	1.14.5-2+b1
libcamera-ipa:arm64	0.7.1+rpt20260609-1
libcamera-tools	0.7.1+rpt20260609-1
libcamera-v4l2:arm64	0.7.1+rpt20260609-1
libcamera0.7:arm64	0.7.1+rpt20260609-1
libcanberra0:arm64	0.30-18
libcap-dev:arm64	1:2.75-10+deb13u1+b1
libcap-ng0:arm64	0.8.5-4+b1
libcap2-bin	1:2.75-10+deb13u1+b1
libcap2:arm64	1:2.75-10+deb13u1+b1
libcapstone5:arm64	5.0.7-1~deb13u1
libcbor0.10:arm64	0.10.2-2
libcc1-0:arm64	14.2.0-19
libcddb2	1.3.2-7.1
libcdio-cdda2t64:arm64	10.2+2.0.2-1+b1
libcdio-paranoia2t64:arm64	10.2+2.0.2-1+b1
libcdio19t64:arm64	2.2.0-4.1~deb13u1
libcdparanoia0:arm64	3.10.2+debian-14+b1
libchromaprint1:arm64	1.5.1-7
libcjson1:arm64	1.7.18-3.1+deb13u1
libcloudproviders0:arm64	0.3.6-2
libcodec2-1.2:arm64	1.2.0-3
libcolord2:arm64	1.4.7-3
libcolorhug2:arm64	1.4.7-3
libcom-err2:arm64	1.47.2-3+b11
libconfig++11:arm64	1.7.3-2
libcpuinfo0:arm64	0.0~git20250327.39ea79a-1
libcrypt-dev:arm64	1:4.4.38-1
libcrypt1:arm64	1:4.4.38-1
libcryptsetup12:arm64	2:2.7.5-2
libctf-nobfd0:arm64	2.44-3
libctf0:arm64	2.44-3
libcups2t64:arm64	2.4.10-3+rpt2+deb13u1
libcupsfilters1t64:arm64	1.28.17-6+rpt1+deb13u1
libcupsimage2t64:arm64	2.4.10-3+rpt2+deb13u1
libcurl3t64-gnutls:arm64	8.14.1-2+deb13u3
libcurl4t64:arm64	8.14.1-2+deb13u3
libdaemon0:arm64	0.14-7.1+b3
libdatrie-dev:arm64	0.2.13-3+b1
libdatrie1:arm64	0.2.13-3+b1
libdav1d7:arm64	1.5.1-1
libdaxctl1:arm64	81-1
libdb5.3t64:arm64	5.3.28+dfsg2-9
libdbus-1-3:arm64	1.16.2-2
libdbus-glib-1-2:arm64	0.114-1
libdbusmenu-glib4:arm64	18.10.20180917~bzr492+repack1-4
libdbusmenu-gtk3-4:arm64	18.10.20180917~bzr492+repack1-4
libdc1394-25:arm64	2.2.6-5
libdca0:arm64	0.0.7-2+b2
libdconf1:arm64	0.40.0-5
libde265-0:arm64	1.0.15-1+b3
